"","V1","V2"
"sq1_bot_left",-87.8656351938844,42.0585524888311
"sq1_bot_right",-87.8655841201544,42.0585524888311
"sq1_top_right",-87.8655841201544,42.0586152190209
"sq1_top_left",-87.8656351938844,42.0586152190209
"sq1_bot_left.1",-87.8656351938844,42.0585524888311
"sq2_bot_left",-87.8655841201544,42.0585524888311
"sq2_bot_right",-87.8655330464244,42.0585524888311
"sq2_top_right",-87.8655330464244,42.0586152190209
"sq2_top_left",-87.8655841201544,42.0586152190209
"sq2_bot_left.1",-87.8655841201544,42.0585524888311
"sq3_bot_left",-87.8655330464244,42.0585524888311
"sq3_bot_right",-87.8654819726944,42.0585524888311
"sq3_top_right",-87.8654819726944,42.0586152190209
"sq3_top_left",-87.8655330464244,42.0586152190209
"sq3_bot_left.1",-87.8655330464244,42.0585524888311
"sq4_bot_left",-87.8656351938844,42.0584897586413
"sq4_bot_right",-87.8655841201544,42.0584897586413
"sq4_top_right",-87.8655841201544,42.0585524888311
"sq4_top_left",-87.8656351938844,42.0585524888311
"sq4_bot_left.1",-87.8656351938844,42.0584897586413
"sq5_bot_left",-87.8655841201544,42.0584897586413
"sq5_bot_right",-87.8655330464244,42.0584897586413
"sq5_top_right",-87.8655330464244,42.0585524888311
"sq5_top_left",-87.8655841201544,42.0585524888311
"sq5_bot_left.1",-87.8655841201544,42.0584897586413
"sq6_bot_left",-87.8655330464244,42.0584897586413
"sq6_bot_right",-87.8654819726944,42.0584897586413
"sq6_top_right",-87.8654819726944,42.0585524888311
"sq6_top_left",-87.8655330464244,42.0585524888311
"sq6_bot_left.1",-87.8655330464244,42.0584897586413
